time,gain
0.026,85.90
0.128,85.90
0.229,85.90
0.330,75.37
0.432,75.37
0.533,82.77
0.634,82.77
0.736,82.77
0.837,83.77
0.938,83.77
1.039,83.77
1.139,83.40
1.241,83.40
1.342,83.40
1.443,83.85
1.544,83.85
1.645,83.85
1.747,83.56
1.849,83.56
1.950,83.56
2.052,81.63
2.154,81.63
2.254,81.63
2.358,82.46
2.460,82.46
2.562,82.46
2.664,82.85
2.767,82.85
2.868,82.85
2.970,80.73
3.071,80.73
3.173,80.73
3.275,84.51
3.377,84.51
3.479,84.51
3.582,83.51
3.684,83.51
3.786,83.51
3.890,84.63
3.992,84.63
4.094,84.63
4.196,84.54
4.298,84.54
4.401,84.54
4.503,84.14
4.604,84.14
4.710,84.14
4.811,82.51
4.914,82.51
5.015,82.51
5.117,84.24
5.219,84.24
5.327,84.24
5.430,82.21
5.530,82.21
5.631,82.21
5.733,82.88
5.834,82.88
5.941,82.88
6.047,83.91
6.152,83.91
6.262,83.55
6.362,83.55
6.464,83.55
6.573,82.03
6.679,82.03
6.781,82.03
6.882,86.28
7.011,86.28
7.114,86.28
7.215,83.25
7.316,83.25
7.417,83.25
7.518,82.72
7.619,82.72
7.721,82.72
7.823,82.81
7.926,82.81
8.033,82.81
8.134,82.73
8.235,82.73
8.337,82.73
8.438,83.81
8.540,83.81
8.642,83.81
8.744,84.38
8.850,84.38
8.952,82.16
9.054,82.16
9.156,82.16
9.258,81.46
9.362,81.46
9.463,81.46
9.565,81.70
9.667,81.70
9.770,81.70
9.882,81.07
9.984,81.07
10.085,81.07
10.188,82.56
10.290,82.56
10.393,82.56
10.498,84.53
10.602,84.53
10.716,84.53
10.820,81.52
10.921,81.52
11.022,81.52
11.123,85.74
11.225,85.74
11.327,85.74
11.431,82.95
11.533,82.95
11.636,82.95
11.738,83.05
11.840,83.05
11.942,83.05
12.044,83.55
12.146,83.55
12.247,83.55
12.349,82.24
12.451,82.24
12.553,82.24
12.655,83.12
12.757,83.12
12.859,83.93
12.961,83.93
13.062,83.93
13.164,81.79
13.266,81.79
13.371,81.79
13.473,82.55
13.576,82.55
13.677,82.55
13.779,81.26
13.882,81.26
13.985,81.26
14.087,80.58
14.189,80.58
14.290,80.58
14.392,83.76
14.492,83.76
14.593,83.76
14.694,80.05
14.796,80.05
14.897,80.05
14.997,78.86
15.098,78.86
15.199,78.86
15.300,82.13
15.402,82.13
15.504,82.13
15.606,81.96
15.708,81.96
15.814,81.96
15.916,82.29
16.017,82.29
16.119,82.29
16.221,83.31
16.322,83.31
16.424,83.31
16.527,83.31
16.628,83.31
16.729,83.31
16.831,83.95
16.932,83.95
17.033,83.95
17.135,84.42
17.237,84.42
17.339,84.42
17.441,81.65
17.542,81.65
17.644,81.65
17.746,82.42
17.851,82.42
17.954,82.42
18.055,82.72
18.156,82.72
18.258,82.72
18.360,82.38
18.462,82.38
18.564,82.38
18.666,82.31
18.767,82.31
18.869,82.78
18.970,82.78
19.072,82.78
19.174,81.79
19.276,81.79
19.381,81.79
19.484,84.16
19.585,84.16
19.687,84.16
19.788,82.58
19.890,82.58
19.991,82.58
20.093,82.84
20.194,82.84
20.295,82.84
20.396,82.79
20.498,82.79
20.599,82.79
20.700,81.67
20.801,81.67
20.903,81.67
21.004,80.95
21.105,80.95
21.206,80.95
21.307,83.31
21.408,83.31
21.509,83.31
21.610,82.62
21.712,82.62
21.813,82.62
21.915,83.30
22.017,83.30
22.119,83.30
22.221,81.76
22.323,81.76
22.424,81.76
22.526,83.24
22.629,83.24
22.731,83.24
22.833,82.45
22.935,82.45
23.038,82.45
23.139,84.31
23.240,84.31
23.342,84.31
23.444,82.42
23.546,82.42
23.650,82.42
23.752,82.23
23.854,82.23
23.955,82.23
24.056,80.87
24.157,80.87
24.258,80.87
24.359,83.33
24.460,83.33
24.561,83.33
24.663,82.19
24.764,82.19
24.865,82.19
24.969,81.53
25.071,81.53
25.173,81.53
25.276,82.57
25.378,82.57
25.480,82.57
25.582,82.21
25.685,82.21
25.789,80.64
25.892,80.64
25.995,80.64
26.097,82.51
26.198,82.51
26.299,82.51
26.402,81.97
26.504,81.97
26.606,81.97
26.708,81.91
26.809,81.91
26.910,81.91
27.013,82.30
27.116,82.30
27.220,82.30
27.322,83.54
27.424,83.54
27.526,83.54
27.630,85.13
27.732,85.13
27.833,85.13
27.936,84.82
28.039,84.82
28.141,84.82
28.243,83.76
28.344,83.76
28.446,83.76
28.552,82.83
28.652,82.83
28.754,82.83
28.856,84.07
28.957,84.07
29.058,84.07
29.160,83.76
29.262,83.76
29.364,83.76
29.466,83.46
