time,gain
0.032,92.93
0.135,92.93
0.236,92.93
0.338,94.02
0.441,94.02
0.543,94.02
0.648,93.66
0.751,93.66
0.854,93.66
0.955,86.50
1.060,86.50
1.164,95.39
1.266,95.39
1.370,95.39
1.471,94.75
1.573,94.75
1.674,94.75
1.777,94.83
1.879,94.83
1.987,94.83
2.090,94.85
2.193,94.85
2.294,94.85
2.397,95.44
2.499,95.44
2.605,95.44
2.713,95.98
2.815,95.98
2.916,95.98
3.023,94.32
3.126,94.32
3.228,94.32
3.331,94.07
3.434,94.07
3.535,94.07
3.636,94.16
3.740,94.16
3.841,94.16
3.945,94.91
4.050,94.91
4.151,94.91
4.258,86.86
4.372,86.86
4.497,94.74
4.598,94.74
4.699,94.74
4.800,93.41
4.902,93.41
5.004,93.41
5.106,96.72
5.210,96.72
5.312,96.72
5.414,93.37
5.516,93.37
5.619,93.37
5.721,93.61
5.822,93.61
5.925,93.61
6.027,95.20
6.133,95.20
6.236,95.20
6.337,94.08
6.442,94.08
6.545,94.08
6.651,94.51
6.752,94.51
6.854,94.51
6.956,86.98
7.057,86.98
7.160,86.98
7.264,94.12
7.366,94.12
7.471,96.07
7.573,96.07
7.675,96.07
7.777,95.14
7.879,95.14
7.983,95.14
8.086,94.90
8.190,94.90
8.292,94.90
8.394,94.67
8.496,94.67
8.600,94.67
8.709,95.05
8.816,95.05
8.920,95.05
9.024,94.85
9.125,94.85
9.227,94.85
9.328,95.59
9.431,95.59
9.536,95.59
9.638,95.99
9.740,95.99
9.842,95.99
9.944,95.56
10.046,95.56
10.149,95.56
10.252,94.14
10.356,94.14
10.458,94.14
10.561,93.90
10.664,93.90
10.771,93.90
10.872,86.69
10.975,86.69
11.077,94.79
11.181,94.79
11.283,94.79
11.385,93.78
11.488,93.78
11.593,93.78
11.703,94.74
11.804,94.74
11.946,94.74
12.047,93.62
12.152,93.62
12.255,93.62
12.356,93.35
12.457,93.35
12.559,93.35
12.661,94.21
12.762,94.21
12.864,94.21
12.966,93.74
13.068,93.74
13.172,93.74
13.273,87.48
13.375,87.48
13.478,94.56
13.580,94.56
13.682,94.56
13.784,94.88
13.887,94.88
13.988,94.88
14.091,94.42
14.194,94.42
14.297,94.42
14.400,94.68
14.503,94.68
14.605,94.68
14.708,94.97
14.812,94.97
14.914,94.97
15.016,93.61
15.119,93.61
15.221,93.61
15.323,95.12
15.424,95.12
15.528,95.12
15.632,94.83
15.735,94.83
15.838,94.83
15.940,95.25
16.043,95.25
16.145,95.25
16.246,95.21
16.350,95.21
16.453,95.21
16.557,93.78
16.659,93.78
16.761,93.78
16.864,95.02
16.966,95.02
17.068,95.02
17.172,85.40
17.275,85.40
17.378,85.40
17.480,93.13
17.582,93.13
17.684,93.13
17.785,86.83
17.887,86.83
17.992,95.35
18.097,95.35
18.199,95.35
18.301,95.01
18.403,95.01
18.504,95.01
18.606,95.16
18.709,95.16
18.810,95.16
18.914,95.44
19.017,95.44
19.120,95.44
19.222,93.31
19.325,93.31
19.426,93.31
19.528,95.00
19.632,95.00
19.733,95.00
19.836,94.55
19.938,94.55
20.040,94.55
20.144,96.83
20.245,96.83
20.352,96.83
20.453,95.14
20.554,95.14
20.657,95.14
20.759,96.57
20.869,96.57
20.971,96.57
21.072,95.79
21.174,95.79
21.275,95.79
21.377,95.37
21.479,95.37
21.581,95.37
21.684,95.08
21.785,95.08
21.888,95.08
21.989,95.10
22.093,95.10
22.195,96.07
22.297,96.07
22.399,96.07
22.501,95.26
22.607,95.26
22.711,95.26
22.814,95.78
22.916,95.78
23.019,95.78
23.121,96.24
23.224,96.24
23.326,96.24
23.429,95.21
23.533,95.21
23.636,95.21
23.738,95.21
23.841,95.21
23.943,95.21
24.046,96.24
24.151,96.24
24.253,96.24
24.355,96.27
24.457,96.27
24.559,96.27
24.662,95.95
24.764,95.95
24.867,95.95
24.969,94.22
25.072,94.22
25.174,94.22
25.277,94.39
25.378,94.39
25.480,94.39
25.582,94.57
25.685,94.57
25.788,94.57
25.890,95.36
25.992,95.36
26.095,95.36
26.197,96.46
26.300,96.46
26.402,96.46
26.504,87.66
26.605,87.66
26.707,94.60
26.810,94.60
26.913,94.60
27.015,95.92
27.120,95.92
27.229,95.92
27.334,94.82
27.435,94.82
27.537,94.82
27.638,94.57
27.740,94.57
27.842,94.57
27.945,95.13
28.047,95.13
28.148,95.13
28.251,94.13
28.353,94.13
28.456,94.13
28.559,95.06
28.661,95.06
28.763,95.06
28.866,94.62
28.968,94.62
29.071,94.62
29.174,93.81
29.276,93.81
29.378,93.81
29.481,94.57
29.584,94.57
29.691,94.57
29.794,93.98
29.895,93.98
29.997,93.98
30.099,93.97
30.201,93.97
