time,gain
0.089,81.42
0.191,81.42
0.293,43.77
0.394,43.77
0.494,43.77
0.595,51.52
0.697,51.52
0.798,51.52
0.899,74.16
1.000,74.16
1.100,82.82
1.201,82.82
1.302,82.82
1.403,82.56
1.504,82.56
1.605,82.56
1.707,84.39
1.808,84.39
1.909,84.39
2.010,82.98
2.111,82.98
2.212,82.98
2.314,83.75
2.415,83.75
2.516,83.75
2.618,85.33
2.719,85.33
2.820,85.33
2.921,84.84
3.022,84.84
3.123,84.84
3.225,83.84
3.325,83.84
3.427,83.84
3.528,86.34
3.630,86.34
3.732,86.34
3.834,84.23
3.935,84.23
4.039,84.23
4.141,85.06
4.243,85.06
4.344,85.06
4.446,84.92
4.549,84.92
4.651,84.92
4.752,86.46
4.853,86.46
4.955,86.46
5.058,85.11
5.160,85.11
5.262,85.11
5.365,85.42
5.468,85.42
5.571,85.42
5.673,84.52
5.775,84.52
5.877,84.52
5.979,83.36
6.080,83.36
6.182,83.36
6.284,85.43
6.386,85.43
6.487,85.43
6.588,85.24
6.690,85.24
6.792,85.24
6.894,84.06
6.996,84.06
7.098,84.06
7.200,88.44
7.302,88.44
7.404,88.44
7.506,85.74
7.608,85.74
7.710,85.74
7.811,78.76
7.913,78.76
8.014,85.47
8.115,85.47
8.218,85.47
8.321,83.90
8.424,83.90
8.525,83.90
8.627,87.61
8.728,87.61
8.829,87.61
8.934,88.53
9.036,88.53
9.138,88.53
9.240,87.33
9.342,87.33
9.444,87.33
9.545,88.04
9.648,88.04
9.749,88.04
9.852,88.04
9.954,88.04
10.055,88.04
10.159,87.07
10.260,87.07
10.362,87.07
10.464,85.89
10.565,85.89
10.668,85.89
10.770,85.97
10.873,85.97
10.976,85.97
11.079,85.31
11.180,85.31
11.283,85.31
11.385,83.05
11.487,83.05
11.589,83.05
11.690,84.40
11.794,84.40
11.895,84.40
11.997,84.58
12.099,84.58
12.201,84.58
12.303,82.11
12.405,82.11
12.507,82.11
12.609,57.73
12.710,57.73
12.812,57.73
12.914,83.13
13.015,83.13
13.117,83.13
13.218,60.40
13.320,60.40
13.422,81.32
13.524,81.32
13.625,81.32
13.727,81.84
13.830,81.84
13.933,81.84
14.035,83.59
14.137,83.59
14.239,83.59
14.341,82.44
14.443,82.44
14.544,82.44
14.648,84.49
14.751,84.49
14.853,84.49
14.955,84.59
15.057,84.59
15.158,84.59
15.261,84.84
15.363,84.84
15.465,84.84
15.569,85.71
15.670,85.71
15.772,85.71
15.874,82.87
15.975,82.87
16.078,82.87
16.180,83.96
16.282,83.96
16.384,83.96
16.486,84.56
16.590,84.56
16.692,84.56
16.793,83.90
16.895,83.90
16.996,83.90
17.098,83.84
17.200,83.84
17.302,83.84
17.404,83.34
17.506,83.34
17.607,83.34
17.709,82.32
17.810,82.32
17.911,82.32
18.013,83.02
18.115,83.02
18.217,83.02
18.319,82.57
18.420,82.57
18.522,82.57
18.624,85.18
18.726,85.18
18.827,85.18
18.928,84.14
19.030,84.14
19.131,82.04
19.235,82.04
19.337,82.04
19.439,85.02
19.542,85.02
19.645,85.02
19.747,85.35
19.848,85.35
19.950,85.35
20.053,84.67
20.156,84.67
20.258,84.67
20.360,86.84
20.462,86.84
20.564,86.84
20.668,85.64
20.770,85.64
20.872,85.64
20.973,84.27
21.075,84.27
21.177,84.27
21.279,84.17
21.381,84.17
21.482,84.17
21.584,85.17
21.685,85.17
21.789,85.17
21.892,81.30
21.994,81.30
22.096,81.30
22.198,82.00
22.299,82.00
22.401,82.00
22.503,83.36
22.605,83.36
22.706,83.36
22.808,81.11
22.909,81.11
23.011,81.11
23.112,82.76
23.214,82.76
23.315,82.76
23.417,80.39
23.519,80.39
23.622,80.39
23.724,80.37
23.826,80.37
23.927,80.37
24.029,59.82
24.132,59.82
24.234,59.82
24.335,82.96
24.437,82.96
24.539,82.24
24.642,82.24
24.743,82.24
24.845,85.58
24.948,85.58
25.050,85.58
25.152,82.46
25.258,82.46
25.359,82.46
25.461,83.75
25.562,83.75
25.664,83.75
25.765,83.30
25.867,83.30
25.968,83.30
26.069,84.52
26.171,84.52
26.273,84.52
26.375,85.22
26.477,85.22
26.578,85.22
26.681,83.55
26.785,83.55
26.888,83.55
26.989,83.82
27.091,83.82
27.192,83.82
27.295,84.54
27.396,84.54
27.498,84.54
27.600,83.49
27.701,83.49
27.803,83.49
27.905,84.14
28.008,84.14
28.110,84.14
28.212,86.20
28.314,86.20
28.416,86.20
