day-of-the-week,hour,status,notes
1,5,3,Wakeup
1,6,4,Driving
1,7,4,
1,8,3,
1,9,3,
1,10,3,
1,11,3,
1,12,4,
1,13,3,
1,14,2,
1,15,3,Driving
1,16,3,
1,17,3,
1,18,2,
1,19,1,
1,20,1,No dinner
2,5,3,No exercise 
2,6,3,driving
2,7,2,
2,8,2,
2,9,3,
2,10,2,
2,11,2,
2,12,2,
2,13,3,
2,14,3,
2,15,2,driving
2,16,2,Taavi meeting 
2,17,4,
2,18,2,
2,19,1,
2,20,3,no dinner
3,5,3,wakeup
3,6,3,driving
3,7,3,
3,8,4,
3,9,4,
3,10,3,
3,11,3,
3,12,3,
3,13,4,
3,14,3,
3,15,2,driving
3,16,3,
3,17,2,distressing email
3,18,1,alone in house
3,19,1,
3,20,2,Feeling a little sick
4,5,1,No exercise
4,6,3,driving
4,7,3,
4,8,4,
4,9,4,
4,10,4,
4,11,4,
4,12,3,
4,13,3,
4,14,4,
4,15,3,driving
4,16,3,
4,17,1,
4,18,2,
4,19,2,
4,20,1,
5,5,3,wakeup
5,6,3,driving
5,7,3,
5,8,2,
5,9,4,
5,10,4,
5,11,2,
5,12,2,
5,13,3,
5,14,4,
5,15,3,driving
5,16,3,
5,17,3,Yoga
5,18,3,
5,19,3,
5,20,1,
6,10,3,
6,11,3,
6,12,4,
6,13,2,
6,14,2,
6,15,3,
6,16,2,
6,17,3,
6,18,2,
6,19,2,
6,20,3,
7,10,4,No exercise 
7,11,4,
7,12,2,
7,13,2,
7,14,3,
7,15,1,
7,16,4,
7,17,3,Big cleaning day
7,18,2,
7,19,2,
7,20,1,
